timestamp,image,ic_num,frame,mold,verdict,ocr_string,fail_causes,elapsed_ms
16:33:16.074,_.bmp,1,1,A,NG,?4Z9 B6? ,slot0(7):low confidence=0.385 < 0.600;slot1(8):low confidence=0.506 < 0.600;slot2(W):low confidence=0.506 < 0.600;slot3(6):shift ratio=0.233 > 0.2;slot5(8):shift ratio=0.210 > 0.2;slot6(H):shift ratio=0.423 > 0.2;slot7(9):missing mark,4.2
16:33:16.074,_.bmp,2,2,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.350 < 0.600;slot1(8):low confidence=0.517 < 0.600;slot2(W):low confidence=0.478 < 0.600;slot3(6):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.277 > 0.2;slot7(9):missing mark,4.7
16:33:16.074,_.bmp,3,3,A,NG,?4Z9 ?2? ,slot0(7):shift ratio=0.212 > 0.2;slot1(8):low confidence=0.503 < 0.600;slot2(W):low confidence=0.503 < 0.600;slot3(6):shift ratio=0.245 > 0.2;slot6(H):shift ratio=0.314 > 0.2;slot7(9):missing mark,3.6
16:33:16.074,_.bmp,4,4,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.387 < 0.600;slot1(8):low confidence=0.523 < 0.600;slot2(W):low confidence=0.496 < 0.600;slot3(6):shift ratio=0.220 > 0.2;slot5(8):shift ratio=0.210 > 0.2;slot6(H):shift ratio=0.248 > 0.2;slot7(9):missing mark,2.9
16:33:16.074,_.bmp,5,5,A,NG,?4Z9 ?2? ,slot0(7):shift ratio=0.212 > 0.2;slot1(8):low confidence=0.495 < 0.600;slot2(W):low confidence=0.494 < 0.600;slot3(6):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.295 > 0.2;slot7(9):missing mark,2.4
16:33:16.074,_.bmp,6,6,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.378 < 0.600;slot1(8):low confidence=0.499 < 0.600;slot2(W):low confidence=0.497 < 0.600;slot3(6):shift ratio=0.258 > 0.2;slot6(H):shift ratio=0.295 > 0.2;slot7(9):missing mark,3.1
16:33:16.074,_.bmp,7,7,A,NG,?4Z9 ?2? ,slot0(7):shift ratio=0.243 > 0.2;slot1(8):low confidence=0.513 < 0.600;slot2(W):low confidence=0.486 < 0.600;slot3(6):shift ratio=0.258 > 0.2;slot6(H):shift ratio=0.277 > 0.2;slot7(9):missing mark,2.4
16:33:16.074,_.bmp,8,8,A,NG,?4Z? ?2? ,slot0(7):shift ratio=0.212 > 0.2;slot1(8):shift ratio=0.204 > 0.2;slot2(W):low confidence=0.502 < 0.600;slot3(6):shift ratio=0.233 > 0.2;slot5(8):shift ratio=0.210 > 0.2;slot6(H):shift ratio=0.273 > 0.2;slot7(9):missing mark,0.8
16:33:16.074,_.bmp,9,9,A,NG,7?W? B?9 ,slot3(6):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.275 > 0.2,1.2
16:33:16.074,_.bmp,10,10,A,NG,7??? 8H9 ,slot3(6):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.216 > 0.2,1.2
16:33:16.074,_.bmp,11,11,A,PASS,7??6 ?H? ,,1.5
16:33:16.074,_.bmp,12,12,A,PASS,7??6 ?H9 ,,1.5
16:33:16.074,_.bmp,13,13,A,NG,7??? ?H9 ,slot3(6):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.235 > 0.2,1.2
16:33:16.074,_.bmp,14,14,A,PASS,7??6 ?H? ,,1.5
16:33:16.074,_.bmp,15,15,A,PASS,7??6 ?H9 ,,1.6
16:33:16.074,_.bmp,16,16,A,NG,7??? ?H9 ,slot3(6):shift ratio=0.245 > 0.2;slot6(H):shift ratio=0.238 > 0.2;slot7(9):shift ratio=0.219 > 0.2,1.0
16:33:43.542,_.bmp,1,1,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.384 < 0.600;slot1(8):low confidence=0.519 < 0.600;slot2(W):low confidence=0.502 < 0.600;slot3(6):low confidence=0.505 < 0.600;slot6(H):low confidence=0.498 < 0.600;slot7(9):missing mark,4.1
16:33:43.542,_.bmp,2,2,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.382 < 0.600;slot1(8):low confidence=0.519 < 0.600;slot2(W):low confidence=0.469 < 0.600;slot3(6):low confidence=0.499 < 0.600;slot5(8):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.216 > 0.2;slot7(9):missing mark,3.7
16:33:43.542,_.bmp,3,3,A,NG,?4?9 ?2? ,slot0(7):shift ratio=0.212 > 0.2;slot1(8):low confidence=0.532 < 0.600;slot2(W):shift ratio=0.208 > 0.2;slot3(6):shift ratio=0.208 > 0.2;slot5(8):shift ratio=0.225 > 0.2;slot6(H):shift ratio=0.216 > 0.2;slot7(9):missing mark,1.5
16:33:43.542,_.bmp,4,4,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.387 < 0.600;slot1(8):low confidence=0.523 < 0.600;slot2(W):low confidence=0.500 < 0.600;slot3(6):low confidence=0.484 < 0.600;slot6(H):low confidence=0.537 < 0.600;slot7(9):missing mark,4.6
16:33:43.542,_.bmp,5,5,A,NG,?4?9 ?2? ,slot0(7):shift ratio=0.212 > 0.2;slot1(8):low confidence=0.522 < 0.600;slot2(W):shift ratio=0.208 > 0.2;slot3(6):low confidence=0.498 < 0.600;slot5(8):shift ratio=0.208 > 0.2;slot6(H):low confidence=0.481 < 0.600;slot7(9):missing mark,2.9
16:33:43.542,_.bmp,6,6,A,NG,?4?9 ??? ,slot0(7):low confidence=0.377 < 0.600;slot1(8):shift ratio=0.220 > 0.2;slot2(W):low confidence=0.485 < 0.600;slot3(6):shift ratio=0.210 > 0.2;slot6(H):shift ratio=0.211 > 0.2;slot7(9):missing mark,1.9
16:33:43.542,_.bmp,7,7,A,NG,?4Z9 B2? ,slot0(7):low confidence=0.384 < 0.600;slot1(8):low confidence=0.513 < 0.600;slot2(W):low confidence=0.463 < 0.600;slot3(6):low confidence=0.494 < 0.600;slot6(H):low confidence=0.517 < 0.600;slot7(9):missing mark,3.4
16:33:43.542,_.bmp,8,8,A,NG,?4Z9 ?2? ,slot0(7):low confidence=0.337 < 0.600;slot1(8):low confidence=0.513 < 0.600;slot2(W):low confidence=0.481 < 0.600;slot3(6):low confidence=0.516 < 0.600;slot6(H):shift ratio=0.211 > 0.2;slot7(9):shift ratio=0.450 > 0.2,2.8
16:33:43.542,_.bmp,9,9,A,PASS,7?W? BH9 ,,1.5
16:33:43.542,_.bmp,10,10,A,PASS,7??6 8H9 ,,1.5
16:33:43.542,_.bmp,11,11,A,PASS,7??6 ?H? ,,1.5
16:33:43.542,_.bmp,12,12,A,PASS,7??? ?H9 ,,1.5
16:33:43.542,_.bmp,13,13,A,PASS,7??6 ?H9 ,,1.5
16:33:43.542,_.bmp,14,14,A,PASS,7??6 ?H? ,,1.5
16:33:43.542,_.bmp,15,15,A,PASS,7??6 8H9 ,,1.5
16:33:43.542,_.bmp,16,16,A,PASS,7??6 BH9 ,,2.0
